,Unnamed: 0,t1,t2,t3,t4,t5,NO2_t+1,NO2_t+2
0,5,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,5.000783949071774e-05,6.069984556233976e-05
10,15,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05,6.426266463677166e-05,4.116727793896441e-05,4.125043839546076e-05
11,16,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05,4.125043839546076e-05,4.13335988519571e-05
12,17,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.13335988519571e-05,4.1416759308453445e-05
13,18,4.125043839546076e-05,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,4.1416759308453445e-05,4.149991976494979e-05
14,19,4.13335988519571e-05,4.125043839546076e-05,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,4.149991976494979e-05,4.158308022144613e-05
15,20,4.1416759308453445e-05,4.13335988519571e-05,4.125043839546076e-05,4.116727793896441e-05,4.108411748246807e-05,4.158308022144613e-05,4.166624067794247e-05
16,21,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.125043839546076e-05,4.116727793896441e-05,4.166624067794247e-05,4.174940113443881e-05
17,22,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.125043839546076e-05,4.174940113443881e-05,4.037905970714444e-05
18,23,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.037905970714444e-05,3.900871827985005e-05
19,24,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,3.900871827985005e-05,3.328273699783798e-05
20,25,4.037905970714444e-05,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,3.328273699783798e-05,1.942383460118436e-05
21,26,3.900871827985005e-05,4.037905970714444e-05,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,1.942383460118436e-05,2.020206958756414e-05
22,27,3.328273699783798e-05,3.900871827985005e-05,4.037905970714444e-05,4.174940113443881e-05,4.166624067794247e-05,2.020206958756414e-05,2.098030457394392e-05
23,28,1.942383460118436e-05,3.328273699783798e-05,3.900871827985005e-05,4.037905970714444e-05,4.174940113443881e-05,2.098030457394392e-05,2.1758539560323698e-05
24,29,2.020206958756414e-05,1.942383460118436e-05,3.328273699783798e-05,3.900871827985005e-05,4.037905970714444e-05,2.1758539560323698e-05,2.253677454670348e-05
25,30,2.098030457394392e-05,2.020206958756414e-05,1.942383460118436e-05,3.328273699783798e-05,3.900871827985005e-05,2.253677454670348e-05,5.1277506827318575e-05
26,31,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,1.942383460118436e-05,3.328273699783798e-05,5.1277506827318575e-05,4.752520923526996e-05
27,32,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,1.942383460118436e-05,4.752520923526996e-05,4.377291164322135e-05
28,33,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,4.377291164322135e-05,4.002061405117274e-05
29,34,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,4.002061405117274e-05,3.626831645912413e-05
30,35,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,3.626831645912413e-05,3.335698784212582e-05
31,36,4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,3.335698784212582e-05,3.921486101414e-05
32,37,3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,3.921486101414e-05,4.507273418615417e-05
34,39,3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05,6.779521208954975e-05,6.288297833331551e-05
35,40,4.507273418615417e-05,3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05,6.288297833331551e-05,5.797074457708125e-05
41,46,4.323404330837851e-05,4.814627706461276e-05,5.3058510820847006e-05,5.797074457708125e-05,6.288297833331551e-05,4.375048047222663e-05,3.353621165539759e-05
47,52,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05,4.375048047222663e-05,3.635277607827448e-05,3.9254452804016186e-05
48,53,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05,3.9254452804016186e-05,4.21561295297579e-05
49,54,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,4.21561295297579e-05,4.5057806255499605e-05
50,55,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,4.5057806255499605e-05,4.795948298124131e-05
51,56,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,4.795948298124131e-05,6.489087172667496e-05
52,57,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,6.489087172667496e-05,5.243001457226153e-05
53,58,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,5.243001457226153e-05,3.996915741784809e-05
54,59,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,3.996915741784809e-05,3.735036524530086e-05
55,60,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,3.735036524530086e-05,3.473157307275364e-05
56,61,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,3.473157307275364e-05,3.211278090020642e-05
57,62,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,3.211278090020642e-05,3.488303555059247e-05
58,63,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,3.488303555059247e-05,3.765329020097852e-05
59,64,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,3.765329020097852e-05,3.656924418464769e-05
60,65,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,3.656924418464769e-05,3.5485198168316856e-05
61,66,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.5485198168316856e-05,3.463729006563715e-05
62,67,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.463729006563715e-05,3.3789381962957456e-05
63,68,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.3789381962957456e-05,3.294147386027775e-05
