,Unnamed: 0,t1,t2,t3,NO2_t+1,NO2_t+2
0,3,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,3.9315833419095725e-05
1,4,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,3.9315833419095725e-05,5.000783949071774e-05
2,5,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,5.000783949071774e-05,6.069984556233976e-05
3,6,3.9315833419095725e-05,1.5131935469980816e-05,1.5131935469980816e-05,6.069984556233976e-05,7.139185163396178e-05
4,7,5.000783949071774e-05,3.9315833419095725e-05,1.5131935469980816e-05,7.139185163396178e-05,8.20838577055838e-05
5,8,6.069984556233976e-05,5.000783949071774e-05,3.9315833419095725e-05,8.20838577055838e-05,6.426266463677166e-05
6,9,7.139185163396178e-05,6.069984556233976e-05,5.000783949071774e-05,6.426266463677166e-05,4.6441471567959525e-05
7,10,8.20838577055838e-05,7.139185163396178e-05,6.069984556233976e-05,4.6441471567959525e-05,2.862027849914739e-05
8,11,6.426266463677166e-05,8.20838577055838e-05,7.139185163396178e-05,2.862027849914739e-05,6.153349168016575e-05
9,12,4.6441471567959525e-05,6.426266463677166e-05,8.20838577055838e-05,6.153349168016575e-05,4.100095702597173e-05
10,13,2.862027849914739e-05,4.6441471567959525e-05,6.426266463677166e-05,4.100095702597173e-05,4.108411748246807e-05
11,14,6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05,4.108411748246807e-05,4.116727793896441e-05
12,15,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.116727793896441e-05,4.125043839546076e-05
13,16,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,4.125043839546076e-05,4.13335988519571e-05
14,17,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,4.13335988519571e-05,4.1416759308453445e-05
15,18,4.125043839546076e-05,4.116727793896441e-05,4.108411748246807e-05,4.1416759308453445e-05,4.149991976494979e-05
16,19,4.13335988519571e-05,4.125043839546076e-05,4.116727793896441e-05,4.149991976494979e-05,4.158308022144613e-05
17,20,4.1416759308453445e-05,4.13335988519571e-05,4.125043839546076e-05,4.158308022144613e-05,4.166624067794247e-05
18,21,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.166624067794247e-05,4.174940113443881e-05
19,22,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,4.174940113443881e-05,4.037905970714444e-05
20,23,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,4.037905970714444e-05,3.900871827985005e-05
21,24,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,3.900871827985005e-05,3.328273699783798e-05
22,25,4.037905970714444e-05,4.174940113443881e-05,4.166624067794247e-05,3.328273699783798e-05,1.942383460118436e-05
23,26,3.900871827985005e-05,4.037905970714444e-05,4.174940113443881e-05,1.942383460118436e-05,2.020206958756414e-05
24,27,3.328273699783798e-05,3.900871827985005e-05,4.037905970714444e-05,2.020206958756414e-05,2.098030457394392e-05
25,28,1.942383460118436e-05,3.328273699783798e-05,3.900871827985005e-05,2.098030457394392e-05,2.1758539560323698e-05
26,29,2.020206958756414e-05,1.942383460118436e-05,3.328273699783798e-05,2.1758539560323698e-05,2.253677454670348e-05
