date,feature_index,NO2
2024-01-16T00:00:00.000Z,0,
2024-01-21T00:00:00.000Z,0,
2024-01-19T00:00:00.000Z,0,
2024-01-18T00:00:00.000Z,0,
2024-01-14T00:00:00.000Z,0,4.100095702597173E-5
2024-01-17T00:00:00.000Z,0,
2024-01-15T00:00:00.000Z,0,
2024-01-20T00:00:00.000Z,0,
2024-04-06T00:00:00.000Z,0,3.468455239878191E-5
2024-04-07T00:00:00.000Z,0,3.672714910862851E-5
2024-04-04T00:00:00.000Z,0,9.75835973804351E-5
2024-04-05T00:00:00.000Z,0,
2024-04-09T00:00:00.000Z,0,
2024-04-10T00:00:00.000Z,0,4.438272117113229E-5
2024-04-08T00:00:00.000Z,0,3.356045484300315E-5
2024-04-03T00:00:00.000Z,0,3.59908235623152E-5
2024-02-10T00:00:00.000Z,0,
2024-02-09T00:00:00.000Z,0,6.779521208954975E-5
2024-02-14T00:00:00.000Z,0,4.323404330837851E-5
2024-02-07T00:00:00.000Z,0,
2024-02-11T00:00:00.000Z,0,
2024-02-08T00:00:00.000Z,0,4.507273418615417E-5
2024-02-13T00:00:00.000Z,0,
2024-02-12T00:00:00.000Z,0,
2024-02-18T00:00:00.000Z,0,
2024-02-17T00:00:00.000Z,0,3.353621165539759E-5
2024-02-22T00:00:00.000Z,0,3.6352776078274474E-5
2024-02-15T00:00:00.000Z,0,7.877365533204284E-5
2024-02-21T00:00:00.000Z,0,4.532905913947616E-5
2024-02-16T00:00:00.000Z,0,4.375048047222663E-5
2024-02-19T00:00:00.000Z,0,5.297711383415541E-5
2024-02-20T00:00:00.000Z,0,3.276710989060424E-5
2024-03-19T00:00:00.000Z,0,2.0102433457698982E-5
2024-03-24T00:00:00.000Z,0,4.169245257799048E-5
2024-03-21T00:00:00.000Z,0,
2024-03-18T00:00:00.000Z,0,2.615820903884014E-5
2024-03-23T00:00:00.000Z,0,
2024-03-25T00:00:00.000Z,0,
2024-03-22T00:00:00.000Z,0,5.4452814219985156E-5
2024-03-20T00:00:00.000Z,0,
2024-01-27T00:00:00.000Z,0,1.9423834601184353E-5
2024-01-29T00:00:00.000Z,0,
