NO2,t1,t2,t3,t4,t5
3.9315833419095725e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05
5.000783949071774e-05,3.9315833419095725e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05
6.069984556233976e-05,5.000783949071774e-05,3.9315833419095725e-05,1.5131935469980816e-05,1.5131935469980816e-05,1.5131935469980816e-05
7.139185163396178e-05,6.069984556233976e-05,5.000783949071774e-05,3.9315833419095725e-05,1.5131935469980816e-05,1.5131935469980816e-05
8.20838577055838e-05,7.139185163396178e-05,6.069984556233976e-05,5.000783949071774e-05,3.9315833419095725e-05,1.5131935469980816e-05
6.426266463677166e-05,8.20838577055838e-05,7.139185163396178e-05,6.069984556233976e-05,5.000783949071774e-05,3.9315833419095725e-05
4.6441471567959525e-05,6.426266463677166e-05,8.20838577055838e-05,7.139185163396178e-05,6.069984556233976e-05,5.000783949071774e-05
2.862027849914739e-05,4.6441471567959525e-05,6.426266463677166e-05,8.20838577055838e-05,7.139185163396178e-05,6.069984556233976e-05
6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05,6.426266463677166e-05,8.20838577055838e-05,7.139185163396178e-05
4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05,6.426266463677166e-05,8.20838577055838e-05
4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05,6.426266463677166e-05
4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05,4.6441471567959525e-05
4.1250438395460755e-05,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05,2.862027849914739e-05
4.13335988519571e-05,4.1250438395460755e-05,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05,6.153349168016575e-05
4.1416759308453445e-05,4.13335988519571e-05,4.1250438395460755e-05,4.116727793896441e-05,4.108411748246807e-05,4.100095702597173e-05
4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.1250438395460755e-05,4.116727793896441e-05,4.108411748246807e-05
4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.1250438395460755e-05,4.116727793896441e-05
4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05,4.1250438395460755e-05
4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05,4.13335988519571e-05
4.0379059707144435e-05,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05,4.1416759308453445e-05
3.900871827985005e-05,4.0379059707144435e-05,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05,4.149991976494979e-05
3.328273699783798e-05,3.900871827985005e-05,4.0379059707144435e-05,4.174940113443881e-05,4.166624067794247e-05,4.158308022144613e-05
1.9423834601184357e-05,3.328273699783798e-05,3.900871827985005e-05,4.0379059707144435e-05,4.174940113443881e-05,4.166624067794247e-05
2.020206958756414e-05,1.9423834601184357e-05,3.328273699783798e-05,3.900871827985005e-05,4.0379059707144435e-05,4.174940113443881e-05
2.098030457394392e-05,2.020206958756414e-05,1.9423834601184357e-05,3.328273699783798e-05,3.900871827985005e-05,4.0379059707144435e-05
2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,1.9423834601184357e-05,3.328273699783798e-05,3.900871827985005e-05
2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,1.9423834601184357e-05,3.328273699783798e-05
5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05,1.9423834601184357e-05
4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05,2.020206958756414e-05
4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05,2.098030457394392e-05
4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05,2.1758539560323698e-05
3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05,2.253677454670348e-05
3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05,5.1277506827318575e-05
3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05,4.752520923526996e-05
4.507273418615417e-05,3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05,4.377291164322135e-05
6.779521208954975e-05,4.507273418615417e-05,3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05,4.002061405117274e-05
6.288297833331551e-05,6.779521208954975e-05,4.507273418615417e-05,3.921486101414e-05,3.335698784212582e-05,3.626831645912413e-05
5.7970744577081254e-05,6.288297833331551e-05,6.779521208954975e-05,4.507273418615417e-05,3.921486101414e-05,3.335698784212582e-05
5.3058510820847006e-05,5.7970744577081254e-05,6.288297833331551e-05,6.779521208954975e-05,4.507273418615417e-05,3.921486101414e-05
4.814627706461276e-05,5.3058510820847006e-05,5.7970744577081254e-05,6.288297833331551e-05,6.779521208954975e-05,4.507273418615417e-05
4.323404330837851e-05,4.814627706461276e-05,5.3058510820847006e-05,5.7970744577081254e-05,6.288297833331551e-05,6.779521208954975e-05
7.877365533204284e-05,4.323404330837851e-05,4.814627706461276e-05,5.3058510820847006e-05,5.7970744577081254e-05,6.288297833331551e-05
4.375048047222663e-05,7.877365533204284e-05,4.323404330837851e-05,4.814627706461276e-05,5.3058510820847006e-05,5.7970744577081254e-05
3.353621165539759e-05,4.375048047222663e-05,7.877365533204284e-05,4.323404330837851e-05,4.814627706461276e-05,5.3058510820847006e-05
4.32566627447765e-05,3.353621165539759e-05,4.375048047222663e-05,7.877365533204284e-05,4.323404330837851e-05,4.814627706461276e-05
5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05,4.375048047222663e-05,7.877365533204284e-05,4.323404330837851e-05
3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05,4.375048047222663e-05,7.877365533204284e-05
4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05,4.375048047222663e-05
3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05,3.353621165539759e-05
3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05,4.32566627447765e-05
4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05,5.297711383415541e-05
4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05,3.276710989060424e-05
4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05,4.532905913947616e-05
6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05,3.635277607827448e-05
5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05,3.9254452804016186e-05
3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05,4.21561295297579e-05
3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05,4.5057806255499605e-05
3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05,4.795948298124131e-05
3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05,6.489087172667496e-05
3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05,5.243001457226153e-05
3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05,3.996915741784809e-05
3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05,3.735036524530086e-05
3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05,3.473157307275364e-05
3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05,3.211278090020642e-05
3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05,3.488303555059247e-05
3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05,3.765329020097852e-05
3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05,3.656924418464769e-05
3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05,3.5485198168316856e-05
3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05,3.463729006563715e-05
2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05,3.3789381962957456e-05
2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05,3.294147386027775e-05
2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05,3.209356575759805e-05
2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05,3.124565765491835e-05
2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05,3.0397749552238647e-05
2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05,2.9549841449558947e-05
3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05,2.8701933346879244e-05
4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05,2.7854025244199544e-05
5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05,2.7006117141519844e-05
4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05,2.615820903884014e-05
4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05,2.0102433457698982e-05
4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05,3.155256037846104e-05
4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05,4.30026872992231e-05
3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05,5.445281421998516e-05
3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05,4.8072633398987824e-05
3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05,4.169245257799048e-05
3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05,4.0916151374403856e-05
1.90573782674619e-05,3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05,4.0139850170817226e-05
3.166831602356979e-05,1.90573782674619e-05,3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05,3.829317847703351e-05
4.427925377967767e-05,3.166831602356979e-05,1.90573782674619e-05,3.055918872026572e-05,3.829902622480101e-05,3.829610235091726e-05
3.59908235623152e-05,4.427925377967767e-05,3.166831602356979e-05,1.90573782674619e-05,3.055918872026572e-05,3.829902622480101e-05
9.75835973804351e-05,3.59908235623152e-05,4.427925377967767e-05,3.166831602356979e-05,1.90573782674619e-05,3.055918872026572e-05
6.61340748896085e-05,9.75835973804351e-05,3.59908235623152e-05,4.427925377967767e-05,3.166831602356979e-05,1.90573782674619e-05
