,NO2,t1
58,5.243001457226153e-05,6.489087172667496e-05
59,3.996915741784809e-05,5.243001457226153e-05
60,3.735036524530086e-05,3.996915741784809e-05
61,3.473157307275364e-05,3.735036524530086e-05
62,3.211278090020642e-05,3.473157307275364e-05
63,3.488303555059247e-05,3.211278090020642e-05
64,3.765329020097852e-05,3.488303555059247e-05
65,3.656924418464769e-05,3.765329020097852e-05
66,3.5485198168316856e-05,3.656924418464769e-05
67,3.463729006563715e-05,3.5485198168316856e-05
68,3.3789381962957456e-05,3.463729006563715e-05
69,3.294147386027775e-05,3.3789381962957456e-05
70,3.209356575759805e-05,3.294147386027775e-05
71,3.124565765491835e-05,3.209356575759805e-05
72,3.0397749552238647e-05,3.124565765491835e-05
73,2.9549841449558947e-05,3.0397749552238647e-05
74,2.8701933346879244e-05,2.9549841449558947e-05
75,2.7854025244199544e-05,2.8701933346879244e-05
76,2.7006117141519844e-05,2.7854025244199544e-05
77,2.615820903884014e-05,2.7006117141519844e-05
78,2.0102433457698982e-05,2.615820903884014e-05
79,3.155256037846104e-05,2.0102433457698982e-05
80,4.30026872992231e-05,3.155256037846104e-05
81,5.445281421998516e-05,4.30026872992231e-05
82,4.8072633398987824e-05,5.445281421998516e-05
83,4.169245257799048e-05,4.8072633398987824e-05
84,4.0916151374403856e-05,4.169245257799048e-05
85,4.0139850170817226e-05,4.0916151374403856e-05
86,3.829317847703351e-05,4.0139850170817226e-05
87,3.829610235091726e-05,3.829317847703351e-05
88,3.829902622480101e-05,3.829610235091726e-05
89,3.055918872026572e-05,3.829902622480101e-05
90,1.90573782674619e-05,3.055918872026572e-05
91,3.166831602356979e-05,1.90573782674619e-05
92,4.427925377967767e-05,3.166831602356979e-05
93,3.59908235623152e-05,4.427925377967767e-05
94,9.75835973804351e-05,3.59908235623152e-05
95,6.61340748896085e-05,9.75835973804351e-05
96,3.468455239878191e-05,6.61340748896085e-05
97,3.672714910862851e-05,3.468455239878191e-05
98,3.356045484300315e-05,3.672714910862851e-05
99,3.897158800706772e-05,3.356045484300315e-05
100,4.438272117113229e-05,3.897158800706772e-05
101,5.92292271903716e-05,4.438272117113229e-05
102,1.695389346423326e-05,5.92292271903716e-05
103,1.852112677624973e-05,1.695389346423326e-05
104,2.00883600882662e-05,1.852112677624973e-05
105,2.3488305714636226e-05,2.00883600882662e-05
106,2.6888251341006253e-05,2.3488305714636226e-05
107,3.137622106805793e-05,2.6888251341006253e-05
108,3.5864190795109605e-05,3.137622106805793e-05
109,2.2777081539970823e-05,3.5864190795109605e-05
110,4.528528400745321e-05,2.2777081539970823e-05
111,4.590310272002777e-05,4.528528400745321e-05
112,4.652092143260234e-05,4.590310272002777e-05
113,4.7138740145176906e-05,4.652092143260234e-05
114,4.7756558857751466e-05,4.7138740145176906e-05
115,4.837437757032603e-05,4.7756558857751466e-05
116,4.89921962829006e-05,4.837437757032603e-05
117,4.9610014995475166e-05,4.89921962829006e-05
118,5.022783370804973e-05,4.9610014995475166e-05
119,4.710880239144899e-05,5.022783370804973e-05
120,2.438967446020494e-05,4.710880239144899e-05
